local_path,package,hash
Clustering_Knowhow.qmd,cluster,0aaa05204035dc43ea0004b9c76611dd
Clustering_Knowhow.qmd,dplyr,fedd9d00c2944ff00a0e2696ccf048ec
Clustering_Knowhow.qmd,factoextra,e95f1aed34b3f0a15a0c308175ee4c80
Clustering_Knowhow.qmd,ggplot2,44c6a2f8202d5b7e878ea274b1092426
Clustering_Knowhow.qmd,knitr,acf380f300c721da9fde7df115a5f86f
Clustering_Knowhow.qmd,readr,9de96463d2117f6ac49980577939dfb3
Clustering_Knowhow.qmd,rmarkdown,062470668513dcda416927085ee9bdc7
Comp/r-east_gsd_tte.qmd,dplyr,fedd9d00c2944ff00a0e2696ccf048ec
Comp/r-east_gsd_tte.qmd,flextable,e3201bd3a94311654ff35cf2ddc3343e
Comp/r-east_gsd_tte.qmd,gsDesign,8e52eb6a565067ff4935617abca6f2c0
Comp/r-east_gsd_tte.qmd,gsDesign2,20b0016ee67344768172da125dc68f9f
Comp/r-east_gsd_tte.qmd,rmarkdown,062470668513dcda416927085ee9bdc7
Comp/r-east_gsd_tte.qmd,rpact,c4bb9e01153051ff125fa6def3e9559b
Comp/r-east_gsd_tte.qmd,tibble,a84e2cc86d07289b3b6f5069df7a004c
Comp/r-east_gsd_tte.qmd,tidyr,915fb7ce036c22a6a33b5a8adb712eb1
Comp/r-sas-python_survey-stats-summary.qmd,Babel,2.14.0
Comp/r-sas-python_survey-stats-summary.qmd,Jinja2,3.1.3
Comp/r-sas-python_survey-stats-summary.qmd,MarkupSafe,2.1.5
Comp/r-sas-python_survey-stats-summary.qmd,PyYAML,6.0.1
Comp/r-sas-python_survey-stats-summary.qmd,Pygments,2.17.2
Comp/r-sas-python_survey-stats-summary.qmd,QtPy,2.4.1
Comp/r-sas-python_survey-stats-summary.qmd,Send2Trash,1.8.3
Comp/r-sas-python_survey-stats-summary.qmd,anyio,4.3.0
Comp/r-sas-python_survey-stats-summary.qmd,appnope,0.1.4
Comp/r-sas-python_survey-stats-summary.qmd,argon2-cffi,23.1.0
Comp/r-sas-python_survey-stats-summary.qmd,argon2-cffi-bindings,21.2.0
Comp/r-sas-python_survey-stats-summary.qmd,arrow,1.3.0
Comp/r-sas-python_survey-stats-summary.qmd,asttokens,2.4.1
Comp/r-sas-python_survey-stats-summary.qmd,async-lru,2.0.4
Comp/r-sas-python_survey-stats-summary.qmd,attrs,23.2.0
Comp/r-sas-python_survey-stats-summary.qmd,beautifulsoup4,4.12.3
Comp/r-sas-python_survey-stats-summary.qmd,bleach,6.1.0
Comp/r-sas-python_survey-stats-summary.qmd,certifi,2024.2.2
Comp/r-sas-python_survey-stats-summary.qmd,cffi,1.16.0
Comp/r-sas-python_survey-stats-summary.qmd,charset-normalizer,3.3.2
Comp/r-sas-python_survey-stats-summary.qmd,colorama,0.4.6
Comp/r-sas-python_survey-stats-summary.qmd,comm,0.2.2
Comp/r-sas-python_survey-stats-summary.qmd,contourpy,1.2.1
Comp/r-sas-python_survey-stats-summary.qmd,cycler,0.12.1
Comp/r-sas-python_survey-stats-summary.qmd,debugpy,1.8.1
Comp/r-sas-python_survey-stats-summary.qmd,decorator,5.1.1
Comp/r-sas-python_survey-stats-summary.qmd,defusedxml,0.7.1
Comp/r-sas-python_survey-stats-summary.qmd,exceptiongroup,1.2.0
Comp/r-sas-python_survey-stats-summary.qmd,executing,2.0.1
Comp/r-sas-python_survey-stats-summary.qmd,fastjsonschema,2.19.1
Comp/r-sas-python_survey-stats-summary.qmd,fonttools,4.53.1
Comp/r-sas-python_survey-stats-summary.qmd,fqdn,1.5.1
Comp/r-sas-python_survey-stats-summary.qmd,gt,3170d1f0f45e531c241179ab57cd30bd
Comp/r-sas-python_survey-stats-summary.qmd,h11,0.14.0
Comp/r-sas-python_survey-stats-summary.qmd,httpcore,1.0.5
Comp/r-sas-python_survey-stats-summary.qmd,httpx,0.27.0
Comp/r-sas-python_survey-stats-summary.qmd,idna,3.6
Comp/r-sas-python_survey-stats-summary.qmd,importlib_metadata,7.1.0
Comp/r-sas-python_survey-stats-summary.qmd,ipykernel,6.29.4
Comp/r-sas-python_survey-stats-summary.qmd,ipython,8.18.1
Comp/r-sas-python_survey-stats-summary.qmd,ipywidgets,8.1.2
Comp/r-sas-python_survey-stats-summary.qmd,isoduration,20.11.0
Comp/r-sas-python_survey-stats-summary.qmd,jedi,0.19.1
Comp/r-sas-python_survey-stats-summary.qmd,joblib,1.4.2
Comp/r-sas-python_survey-stats-summary.qmd,json5,0.9.24
Comp/r-sas-python_survey-stats-summary.qmd,jsonpointer,2.4
Comp/r-sas-python_survey-stats-summary.qmd,jsonschema,4.21.1
Comp/r-sas-python_survey-stats-summary.qmd,jsonschema-specifications,2023.12.1
Comp/r-sas-python_survey-stats-summary.qmd,jupyter,1.0.0
Comp/r-sas-python_survey-stats-summary.qmd,jupyter-console,6.6.3
Comp/r-sas-python_survey-stats-summary.qmd,jupyter-events,0.10.0
Comp/r-sas-python_survey-stats-summary.qmd,jupyter-lsp,2.2.5
Comp/r-sas-python_survey-stats-summary.qmd,jupyter_client,8.6.1
